,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,[0.],[2.0861626e-07],[0.],[0.00333023],[6.54161e-05],[0.],[1.9967556e-06],[6.854534e-07],[0.],[0.],[0.00290942],[8.34465e-07],[5.662441e-07],[1.1920929e-07],[0.],[0.],[0.],[0.00090268],[5.066395e-07],[0.14052904],[8.34465e-07],[1.013279e-06],[8.046627e-07],[5.066395e-07],[0.],[0.00346047],[0.],[1.1026859e-05],[0.09120789],[7.1525574e-07],[5.185604e-06],[4.172325e-06],[5.9604645e-08],[0.02186891],[5.096197e-06],[8.6426735e-07],[1.4901161e-07],[6.574392e-05],[0.00012046],[0.00046739],[0.],[1.2814999e-06],[2.682209e-07],[5.930662e-06],[0.00127476],[0.],[0.6425957],[0.],[2.1517277e-05],[0.00012547],[0.],[2.2858381e-05],[8.821487e-06],[0.10855246],[0.],[0.],[2.3692846e-05],[0.],[0.00095686],[0.],[2.0861626e-07],[0.],[0.],[3.0606985e-05]
1,[0.00021282],[0.00969639],[0.634428],[4.917383e-06],[0.],[0.07622939],[0.00041953],[0.],[0.75677794],[0.71093476],[2.9802322e-08],[0.],[0.],[0.03181824],[0.000236],[0.00075856],[2.9802322e-08],[2.9802322e-08],[0.],[2.2351742e-06],[0.],[0.],[0.],[0.],[0.7101053],[5.9604645e-08],[0.75380516],[2.0056963e-05],[1.1026859e-06],[0.],[0.00010833],[0.],[0.17205137],[1.7881393e-07],[9.611249e-05],[0.00274977],[0.01385269],[0.],[0.],[0.],[0.00153092],[0.],[0.00802818],[0.],[5.9604645e-08],[0.5547182],[8.046627e-07],[0.11046734],[3.710389e-05],[0.],[0.45819008],[0.],[0.],[2.026558e-06],[0.23436385],[0.00263911],[0.],[0.2248385],[2.9802322e-08],[0.2033934],[0.006441],[0.44003454],[0.38669708],[1.9729137e-05]
2,[0.00999022],[0.00073493],[0.532941],[1.3709068e-06],[0.],[0.00616005],[3.156066e-05],[0.],[0.31211054],[0.1559278],[0.],[0.],[0.],[0.00246239],[0.01105964],[0.03473088],[7.748604e-07],[0.],[0.],[6.2584877e-07],[0.],[0.],[0.],[0.],[0.1553978],[5.9604645e-08],[0.22785866],[4.3213367e-06],[2.682209e-07],[0.],[1.6093254e-05],[0.],[0.01536879],[8.940697e-08],[1.3887882e-05],[0.00020707],[0.00105402],[0.],[0.],[0.],[0.06774583],[0.],[0.00060752],[0.],[0.],[0.08556575],[2.0861626e-07],[0.7699858],[1.0758638e-05],[0.],[0.6494209],[0.],[0.],[6.2584877e-07],[0.7579651],[0.11143598],[0.],[0.7598927],[0.],[0.01881713],[0.00048667],[0.0557352],[0.70944905],[5.632639e-06]
3,[0.],[0.73440444],[0.00013846],[0.00012439],[0.],[0.20280099],[0.17832878],[0.],[0.00049651],[0.00190988],[1.2218952e-06],[0.],[0.],[0.45635042],[8.940697e-08],[8.940697e-08],[0.],[3.5762787e-07],[0.],[5.403161e-05],[0.],[0.],[0.],[0.],[0.00187701],[1.4305115e-06],[0.00100288],[0.01028872],[2.6226044e-05],[0.],[0.05302966],[0.],[0.06266278],[4.172325e-06],[0.04733428],[0.58773124],[0.7280085],[0.],[8.940697e-08],[2.3841858e-07],[1.1920929e-07],[0.],[0.73163587],[0.],[4.4703484e-07],[0.00476271],[2.0831823e-05],[9.924173e-06],[0.0108197],[1.1920929e-07],[6.741285e-05],[0.],[0.],[5.0634146e-05],[2.4437904e-05],[1.7881393e-07],[0.],[2.3066998e-05],[4.7683716e-07],[0.03819758],[0.7308816],[0.00938874],[5.030632e-05],[0.00381535]
4,[0.0007644],[0.0041135],[0.7611569],[3.3080578e-06],[0.],[0.03363973],[0.00017706],[0.],[0.71816784],[0.5092033],[8.940697e-08],[0.],[0.],[0.01367405],[0.00084704],[0.00272009],[0.],[0.],[0.],[1.4603138e-06],[0.],[0.],[0.],[0.],[0.5081955],[8.940697e-08],[0.6236853],[9.953976e-06],[6.556511e-07],[0.],[4.568696e-05],[0.],[0.0805966],[1.7881393e-07],[4.0590763e-05],[0.00116178],[0.00589091],[0.],[0.],[0.],[0.00547853],[0.],[0.00340256],[0.],[0.],[0.34448788],[5.662441e-07],[0.3085165],[2.4735928e-05],[0.],[0.747896],[0.],[0.],[1.3113022e-06],[0.5237518],[0.00941727],[0.],[0.510304],[0.],[0.09723511],[0.0027273],[0.24896634],[0.69374657],[1.3202429e-05]
5,[0.],[0.],[0.],[7.1525574e-07],[0.02042422],[0.],[0.],[0.00021887],[0.],[0.],[0.0055317],[0.0002647],[0.00019938],[0.],[0.],[0.],[0.],[0.06747815],[0.00018221],[6.9737434e-06],[0.00026032],[0.00033733],[0.00023377],[0.00016728],[0.],[0.0060938],[0.],[5.9604645e-08],[1.3411045e-06],[0.0002352],[0.],[0.00130811],[0.],[0.00077999],[0.],[0.],[0.],[0.02026159],[0.0365237],[0.12384257],[0.],[0.00042397],[0.],[0.00187761],[0.11052555],[0.],[2.7567148e-05],[0.],[1.1920929e-07],[0.04917628],[0.],[0.00713485],[0.00276399],[4.6491623e-06],[0.],[0.],[0.007388],[0.],[0.01419267],[0.],[0.],[0.],[0.],[1.4901161e-07]
6,[0.],[0.],[0.],[3.2246113e-05],[0.00026062],[0.],[2.3841858e-07],[2.771616e-06],[0.],[0.],[0.03850633],[3.3080578e-06],[2.503395e-06],[0.],[0.],[0.],[0.],[0.00876451],[2.2351742e-06],[0.00130329],[3.3080578e-06],[4.261732e-06],[2.95043e-06],[2.115965e-06],[0.],[0.03634182],[0.],[7.748604e-07],[0.00078616],[2.9206276e-06],[5.066395e-07],[1.6629696e-05],[0.],[0.3885506],[5.066395e-07],[5.9604645e-08],[2.9802322e-08],[0.00026202],[0.00048003],[0.00584498],[0.],[5.3942204e-06],[2.9802322e-08],[2.3454428e-05],[0.00506353],[0.],[0.02908882],[0.],[2.2053719e-06],[0.00049987],[0.],[9.1046095e-05],[3.5136938e-05],[0.00097093],[0.],[0.],[9.435415e-05],[0.],[0.02380347],[0.],[2.9802322e-08],[0.],[0.],[3.1292439e-06]
7,[0.],[0.],[0.],[0.],[8.329749e-05],[0.],[0.],[0.41892022],[0.],[0.],[3.2782555e-07],[0.52284175],[0.3676074],[0.],[0.],[0.],[0.],[5.662441e-07],[0.3113072],[0.],[0.5077152],[0.2775501],[0.48331362],[0.2926234],[0.],[5.066395e-07],[0.],[0.],[0.],[0.45330226],[0.],[0.01937607],[0.],[1.4901161e-07],[0.],[0.],[0.],[0.00021422],[0.00010458],[3.5762787e-07],[0.],[0.14681926],[0.],[0.01164064],[1.847744e-06],[0.],[0.],[0.],[0.],[6.189942e-05],[0.],[0.0010623],[0.01045194],[0.],[0.],[0.],[0.00209433],[0.],[1.1920929e-07],[0.],[0.],[0.],[0.],[0.]
8,[3.1590462e-06],[0.13404024],[0.02515393],[2.1398067e-05],[0.],[0.5660732],[0.00659236],[0.],[0.08478901],[0.26301134],[2.0861626e-07],[0.],[0.],[0.3419054],[3.516674e-06],[1.1265278e-05],[0.],[5.9604645e-08],[0.],[9.715557e-06],[0.],[0.],[0.],[0.],[0.25964648],[2.0861626e-07],[0.15770009],[0.00031781],[4.6789646e-06],[0.],[0.00170931],[0.],[0.73976845],[7.4505806e-07],[0.00151694],[0.04176953],[0.181716],[0.],[0.],[2.9802322e-08],[2.2798777e-05],[0.],[0.11343101],[0.],[5.9604645e-08],[0.47159484],[3.7550926e-06],[0.00184301],[0.00033435],[0.],[0.01241741],[0.],[0.],[9.030104e-06],[0.00453061],[3.9339066e-05],[0.],[0.00429407],[2.0861626e-07],[0.73329353],[0.09295788],[0.6386703],[0.00928763],[0.00011712]
9,[0.],[1.1026859e-06],[0.],[0.12559292],[2.3066998e-05],[2.0861626e-07],[1.0758638e-05],[2.9802322e-07],[0.],[8.940697e-08],[0.00102961],[2.9802322e-07],[2.3841858e-07],[5.364418e-07],[0.],[0.],[0.],[0.00031894],[2.0861626e-07],[0.59113467],[2.9802322e-07],[3.5762787e-07],[2.682209e-07],[2.0861626e-07],[0.],[0.00122508],[2.9802322e-08],[0.00040364],[0.68406844],[2.0861626e-07],[2.7745962e-05],[1.4603138e-06],[1.1920929e-07],[0.00344506],[2.9206276e-05],[4.5895576e-06],[9.23872e-07],[2.3186207e-05],[4.258752e-05],[0.00018758],[0.],[3.874302e-07],[1.2516975e-06],[2.026558e-06],[0.00045064],[1.4901161e-07],[0.14552552],[0.],[0.00020045],[4.4316053e-05],[0.],[8.046627e-06],[3.1292439e-06],[0.64642715],[0.],[0.],[8.374453e-06],[0.],[0.00041431],[8.940697e-08],[1.3113022e-06],[1.1920929e-07],[0.],[0.00104791]
