,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,[0.28677562],[0.],[0.],[0.],[0.],[0.],[1.1920929e-07],[0.00083268],[0.],[0.],[0.00040749],[0.00044915],[0.0003745],[0.],[1.7255545e-05],[2.3841858e-07],[0.00030744],[0.00313491],[0.00612462],[0.00253013],[0.00134408],[0.00048843],[2.0861626e-07],[0.],[0.],[0.],[0.],[1.8179417e-06],[1.4901161e-07],[0.00123107],[0.],[0.01785454],[0.],[0.00010568],[0.],[0.00043321],[0.],[0.01015082],[0.00048801],[0.],[0.],[0.00154674],[0.],[2.6792288e-05],[6.4074993e-06],[8.940697e-08],[3.606081e-06],[0.],[0.0464516],[0.00046507],[0.],[0.],[0.10619497],[0.00531581],[0.],[0.],[0.00071436],[0.],[0.],[0.],[0.],[0.],[0.],[0.41599688]
1,[2.0861626e-07],[0.0054771],[8.940697e-08],[0.27446043],[0.54521006],[0.00139585],[0.0031904],[0.],[0.7256783],[0.00020221],[4.6491623e-06],[0.],[0.],[0.0307067],[6.610155e-05],[0.0007377],[4.6789646e-06],[0.],[0.],[0.],[0.],[0.],[0.00044066],[0.0532127],[0.00049731],[0.4626656],[0.65975636],[0.0001891],[0.00509921],[0.],[0.0081225],[2.9802322e-08],[8.046627e-07],[2.115965e-06],[0.00449565],[0.],[0.00017017],[0.],[0.],[0.04509464],[0.00012228],[0.],[0.00077796],[8.6426735e-06],[4.5895576e-05],[0.00228477],[0.00013888],[2.9802322e-08],[3.5762787e-07],[0.],[3.8653612e-05],[0.00842386],[2.3841858e-07],[0.],[2.0861626e-06],[0.70138556],[0.],[0.00036874],[3.784895e-06],[0.72496086],[0.04640988],[2.4735928e-06],[5.9604645e-08],[1.7881393e-07]
2,[0.],[0.24596801],[0.0024074],[0.01780903],[0.00065166],[0.41514936],[1.3530254e-05],[0.],[0.00164577],[0.7527733],[8.940697e-08],[0.],[0.],[0.07367951],[1.2218952e-06],[6.4074993e-06],[5.9604645e-08],[0.],[0.],[0.],[0.],[0.],[3.427267e-06],[3.0577183e-05],[0.6075291],[0.00981745],[0.0034861],[3.606081e-06],[2.041459e-05],[0.],[0.17090997],[0.],[0.07255939],[0.],[0.26822144],[0.],[0.75628155],[0.],[0.],[0.05997464],[0.7542826],[0.],[0.56616724],[1.1920929e-07],[8.6426735e-07],[8.225441e-06],[2.682209e-06],[0.00207713],[0.],[0.],[0.766324],[0.17844671],[0.],[0.],[0.16769147],[0.00127602],[0.],[0.6698975],[0.2591139],[0.00330329],[2.6494265e-05],[0.18519837],[0.0004113],[0.]
3,[2.026558e-06],[6.0796738e-06],[0.],[0.00041825],[0.05276841],[1.5497208e-06],[0.21714613],[0.],[0.01142377],[3.874302e-07],[4.8935413e-05],[0.],[0.],[3.501773e-05],[0.00070414],[0.06013024],[5.0216913e-05],[2.9802322e-08],[1.7881393e-07],[1.1920929e-07],[8.940697e-08],[0.],[0.03680325],[0.723273],[7.748604e-07],[0.00095156],[0.00214034],[0.00629854],[0.30756927],[2.9802322e-08],[9.030104e-06],[2.682209e-07],[0.],[2.2828579e-05],[4.976988e-06],[0.],[3.5762787e-07],[1.1920929e-07],[0.],[5.2273273e-05],[3.2782555e-07],[2.9802322e-08],[8.046627e-07],[8.702278e-05],[0.00052327],[0.16559663],[0.0026466],[0.],[4.23193e-06],[0.],[1.4901161e-07],[9.387732e-06],[1.3113022e-06],[8.940697e-08],[2.9802322e-08],[0.01491711],[0.],[5.9604645e-07],[8.940697e-08],[0.00321788],[0.7077981],[1.1920929e-07],[0.],[2.0563602e-06]
4,[0.],[0.02416462],[0.08897421],[0.00137457],[4.953146e-05],[0.05113053],[4.798174e-06],[0.],[0.00012517],[0.19123659],[0.],[0.],[0.],[0.00600186],[3.874302e-07],[2.2351742e-06],[8.940697e-08],[0.],[0.],[0.],[0.],[0.],[1.1920929e-06],[6.556511e-06],[0.1051532],[0.00075209],[0.00026551],[1.2814999e-06],[7.212162e-06],[0.],[0.01540765],[0.],[0.75052106],[0.],[0.02707133],[0.],[0.21428972],[0.],[0.],[0.00482002],[0.24178195],[0.],[0.09013876],[8.940697e-08],[2.9802322e-07],[2.8908253e-06],[9.834766e-07],[0.07769307],[0.],[0.],[0.43671805],[0.01622126],[0.],[0.],[0.76074064],[9.700656e-05],[0.],[0.13348958],[0.75570965],[0.00025153],[9.387732e-06],[0.76159227],[0.01637903],[0.]
5,[2.9802322e-08],[0.7330134],[1.3679266e-05],[0.3064441],[0.01564255],[0.42205304],[0.00011283],[0.],[0.03862017],[0.09554911],[7.748604e-07],[0.],[0.],[0.65966135],[1.0788441e-05],[5.3673983e-05],[7.1525574e-07],[0.],[0.],[0.],[0.],[0.],[2.849102e-05],[0.00074449],[0.20631781],[0.19459146],[0.07854941],[3.0845404e-05],[0.00017101],[0.],[0.7264957],[0.],[0.00044259],[3.2782555e-07],[0.7023184],[0.],[0.08164543],[0.],[0.],[0.6085679],[0.06005904],[0.],[0.28915465],[1.3709068e-06],[7.4505806e-06],[6.881356e-05],[2.2619963e-05],[1.180172e-05],[1.4901161e-07],[0.],[0.01978552],[0.7322686],[5.9604645e-08],[0.],[0.0011389],[0.03019479],[0.],[0.16158283],[0.00197527],[0.07472801],[0.00064468],[0.0012846],[2.3245811e-06],[2.9802322e-08]
6,[1.4901161e-07],[0.01497841],[0.],[0.51088005],[0.37159014],[0.00384468],[0.00157616],[0.],[0.5991686],[0.00055796],[3.3974648e-06],[0.],[0.],[0.08043495],[4.9710274e-05],[0.00036407],[3.5762787e-06],[0.],[0.],[0.],[0.],[0.],[0.00021741],[0.02697465],[0.00137195],[0.7039167],[0.6988742],[0.00014213],[0.00252166],[0.],[0.02211085],[0.],[2.3245811e-06],[1.5497208e-06],[0.01231551],[0.],[0.00046962],[0.],[0.],[0.11535087],[0.00033757],[0.],[0.0021452],[6.109476e-06],[3.4421682e-05],[0.00112823],[0.00010434],[1.4901161e-07],[2.3841858e-07],[0.],[0.00010669],[0.02291912],[1.1920929e-07],[0.],[6.020069e-06],[0.53672564],[0.],[0.00101748],[1.04904175e-05],[0.71330065],[0.02344304],[6.7949295e-06],[0.],[1.4901161e-07]
7,[4.5359135e-05],[0.],[0.],[0.],[0.],[0.],[0.],[0.1437634],[0.],[0.],[8.940697e-08],[0.5290482],[0.3890368],[0.],[0.],[0.],[1.4901161e-07],[0.01131806],[0.00082293],[0.0102475],[0.08788761],[0.46242657],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.05079585],[0.],[0.0006386],[0.],[5.9604645e-08],[0.],[0.51595986],[0.],[0.00127515],[0.4770905],[0.],[0.],[0.05500957],[0.],[0.],[0.],[0.],[0.],[0.],[5.662441e-07],[0.524513],[0.],[0.],[0.00013295],[0.00366879],[0.],[0.],[0.16625455],[0.],[0.],[0.],[0.],[0.],[0.],[2.3275614e-05]
8,[8.940697e-08],[0.00646955],[1.1920929e-07],[0.3090499],[0.5271949],[0.00165001],[0.00296804],[0.],[0.7273162],[0.00023907],[4.082918e-06],[0.],[0.],[0.03610525],[5.8710575e-05],[0.00068614],[4.142523e-06],[0.],[0.],[0.],[0.],[0.],[0.0004099],[0.04967868],[0.00058797],[0.50448173],[0.6940419],[0.00016782],[0.00474459],[0.],[0.00958976],[5.9604645e-08],[9.536743e-07],[1.758337e-06],[0.00531128],[0.],[0.00020114],[0.],[0.],[0.05288482],[0.00014469],[0.],[0.00091982],[6.8843365e-06],[4.068017e-05],[0.00212541],[0.00012323],[2.9802322e-08],[3.5762787e-07],[0.],[4.5746565e-05],[0.00994506],[1.1920929e-07],[0.],[2.592802e-06],[0.68599385],[0.],[0.00043601],[4.4107437e-06],[0.72660136],[0.04330701],[2.8908253e-06],[0.],[1.1920929e-07]
9,[2.7418137e-05],[2.9802322e-08],[0.],[1.4901161e-07],[5.7816505e-06],[8.940697e-08],[0.01712006],[1.1920929e-07],[1.1920929e-06],[0.],[0.00055316],[5.9604645e-08],[5.9604645e-08],[1.7881393e-07],[0.11813956],[0.1473284],[0.00070345],[5.066395e-07],[1.2218952e-06],[4.172325e-07],[2.3841858e-07],[8.940697e-08],[0.29852164],[0.00042561],[8.940697e-08],[4.172325e-07],[2.7418137e-06],[0.6648197],[0.00818047],[2.0861626e-07],[0.],[4.529953e-06],[0.],[0.00033572],[8.940697e-08],[1.4901161e-07],[0.],[2.2947788e-06],[0.],[1.1920929e-07],[0.],[2.9802322e-07],[0.],[0.00409418],[0.15732381],[0.02648729],[0.52503276],[0.],[3.761053e-05],[5.9604645e-08],[0.],[1.4901161e-07],[2.1487474e-05],[8.6426735e-07],[0.],[1.847744e-06],[1.7881393e-07],[0.],[0.],[1.3113022e-06],[0.0004169],[0.],[0.],[2.4229288e-05]
