,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,[0.28677562],[2.0861626e-07],[0.],[2.026558e-06],[0.],[2.9802322e-08],[1.4901161e-07],[4.5359135e-05],[8.940697e-08],[2.7418137e-05],[3.7550926e-06],[0.00771922],[0.00027552],[0.],[1.4066696e-05],[1.1622906e-06],[5.9604645e-08],[9.056926e-05],[5.441904e-05],[5.9604645e-08],[0.00019333],[0.2721489],[0.00157097],[4.9501657e-05],[0.],[2.9802322e-08],[0.],[0.00261042],[0.0021455],[0.02370936],[0.],[1.7672777e-05],[0.],[0.09984073],[6.3478947e-06],[0.00063556],[8.940697e-08],[4.1633844e-05],[8.174777e-05],[0.00622708],[0.],[4.863739e-05],[0.],[2.0861626e-07],[0.00304651],[0.],[0.00019225],[0.],[0.00123325],[0.00969556],[0.],[0.00345522],[1.758337e-06],[0.00084955],[0.],[0.],[4.4941902e-05],[0.],[3.7163496e-05],[0.],[5.9604645e-08],[0.],[0.],[3.993511e-06]
1,[0.],[0.0054771],[0.24596801],[6.0796738e-06],[0.02416462],[0.7330134],[0.01497841],[0.],[0.00646955],[2.9802322e-08],[1.7881393e-07],[0.],[0.],[0.33890587],[5.9604645e-08],[2.3752451e-05],[0.01708937],[0.],[0.],[0.11588177],[0.],[0.],[0.],[0.],[0.0008069],[0.5250423],[0.00760731],[0.],[0.],[0.],[0.7464964],[8.940697e-08],[0.6794771],[0.],[6.556511e-07],[0.],[0.7439644],[0.],[0.],[0.],[0.3461023],[3.5762787e-07],[0.69266814],[0.00483352],[0.],[1.5765429e-05],[5.9604645e-08],[0.05301288],[0.],[0.],[0.17496982],[0.],[3.0249357e-05],[0.],[0.0137198],[0.19135085],[0.],[0.7576113],[0.],[7.212162e-05],[0.1878981],[0.1738345],[0.01531219],[3.874302e-07]
2,[0.],[8.940697e-08],[0.0024074],[0.],[0.08897421],[1.3679266e-05],[0.],[0.],[1.1920929e-07],[0.],[0.],[0.],[0.],[0.0009788],[0.],[0.],[5.9604645e-08],[0.],[0.],[5.662441e-07],[0.],[0.],[0.],[0.],[0.7676338],[5.3048134e-06],[0.3317893],[0.],[0.],[0.],[6.082654e-05],[0.],[0.00011709],[0.],[0.],[0.],[4.926324e-05],[0.],[0.],[0.],[0.00098008],[0.],[0.00010753],[8.940697e-08],[0.],[0.07360065],[0.],[0.02932256],[0.],[0.],[0.00407758],[0.],[2.9802322e-08],[0.],[0.21031326],[0.0037156],[0.],[2.1249056e-05],[0.],[0.26638067],[1.1026859e-06],[0.00417653],[0.1810762],[0.]
3,[0.],[0.27446043],[0.01780903],[0.00041825],[0.00137457],[0.3064441],[0.51088005],[0.],[0.3090499],[1.4901161e-07],[1.3381243e-05],[0.],[0.],[0.02770579],[2.3841858e-07],[0.00162885],[0.56676525],[0.],[0.],[0.73780966],[0.],[0.],[1.4901161e-07],[0.],[4.4941902e-05],[0.44271538],[0.00042593],[0.],[0.],[0.],[0.16406536],[5.066395e-07],[0.10541308],[0.],[2.1666288e-05],[0.],[0.17601413],[0.],[5.9604645e-08],[0.],[0.02857968],[1.9967556e-06],[0.11133051],[0.25016403],[0.],[1.8179417e-06],[1.7881393e-07],[0.00310203],[0.],[0.],[0.01165095],[0.],[0.00207451],[0.],[0.00077257],[0.01298225],[0.],[0.2898322],[0.],[6.4074993e-06],[0.73061144],[0.0115605],[0.00086364],[2.9802322e-05]
4,[0.],[0.54521006],[0.00065166],[0.05276841],[4.953146e-05],[0.01564255],[0.37159014],[0.],[0.5271949],[5.7816505e-06],[0.00166029],[0.],[0.],[0.00102377],[1.0728836e-05],[0.17844036],[0.32486168],[0.],[0.],[0.12127259],[0.],[0.],[2.0861626e-07],[0.],[3.7252903e-06],[0.02777776],[1.5348196e-05],[1.7881393e-07],[5.9604645e-08],[0.],[0.00700933],[4.607439e-05],[0.00422007],[0.],[0.00287694],[1.4901161e-07],[0.00762406],[0.],[4.4703484e-07],[0.],[0.00105706],[2.7567148e-05],[0.00448549],[0.5524433],[0.],[3.874302e-07],[1.0430813e-06],[0.00011191],[0.],[0.],[0.00042379],[0.],[0.21676049],[0.],[2.7775764e-05],[0.00047281],[0.],[0.01446578],[0.],[1.3709068e-06],[0.08887309],[0.00042048],[3.1113625e-05],[0.00394765]
5,[0.],[0.00139585],[0.41514936],[1.5497208e-06],[0.05113053],[0.42205304],[0.00384468],[0.],[0.00165001],[8.940697e-08],[2.0861626e-07],[0.],[0.],[0.52730817],[0.],[5.9604645e-06],[0.0047268],[0.],[0.],[0.03219616],[0.],[0.],[0.],[0.],[0.00175416],[0.21910188],[0.01640722],[0.],[0.],[0.],[0.7471929],[2.0861626e-07],[0.73645043],[0.],[6.556511e-07],[0.],[0.7232014],[0.],[0.],[0.],[0.5352662],[2.682209e-07],[0.7375164],[0.00123122],[0.],[3.4362078e-05],[0.],[0.10858905],[0.],[0.],[0.31576777],[0.],[7.6293945e-06],[0.],[0.02938089],[0.33989972],[0.],[0.5316669],[0.],[0.00015706],[0.05546769],[0.31406665],[0.03273088],[4.172325e-07]
6,[1.1920929e-07],[0.0031904],[1.3530254e-05],[0.21714613],[4.798174e-06],[0.00011283],[0.00157616],[0.],[0.00296804],[0.01712006],[0.6951997],[0.],[0.],[2.3126602e-05],[0.03087959],[0.10705844],[0.00150809],[0.],[0.],[0.00036833],[0.],[0.],[4.4077635e-05],[0.],[8.6426735e-07],[0.00016811],[3.2484531e-06],[9.745359e-06],[1.5348196e-05],[5.9604645e-07],[5.093217e-05],[0.11691877],[4.6372414e-05],[1.4901161e-07],[0.6394937],[1.14142895e-05],[5.9992075e-05],[0.],[0.00057045],[0.],[2.1964312e-05],[0.0660626],[4.7385693e-05],[0.0032846],[6.0498714e-06],[1.4901161e-07],[0.00036684],[6.5863132e-06],[0.],[0.],[1.2874603e-05],[0.],[0.06864446],[0.],[3.0100346e-06],[1.2278557e-05],[0.],[6.866455e-05],[0.],[3.2782555e-07],[0.00026035],[1.2546778e-05],[3.1888485e-06],[0.64061767]
7,[0.00083268],[0.],[0.],[0.],[0.],[0.],[0.],[0.1437634],[0.],[1.1920929e-07],[8.940697e-08],[0.00570112],[0.19301],[0.],[2.0861626e-07],[0.],[0.],[0.42477423],[0.16780233],[0.],[0.37051886],[0.0011006],[1.0162592e-05],[0.15514585],[0.],[0.],[0.],[1.6957521e-05],[1.3947487e-05],[0.00015718],[0.],[1.4901161e-07],[0.],[0.00016496],[8.940697e-08],[3.9041042e-06],[0.],[0.1336408],[4.4703484e-07],[0.01809844],[0.],[2.9802322e-07],[0.],[0.],[1.9818544e-05],[0.],[1.2516975e-06],[0.],[0.05042273],[0.00776097],[0.],[0.043143],[0.],[0.07127821],[0.],[0.],[0.14262086],[0.],[0.120763],[0.],[0.],[0.],[0.],[0.]
8,[0.],[0.7256783],[0.00164577],[0.01142377],[0.00012517],[0.03862017],[0.5991686],[0.],[0.7273162],[1.1920929e-06],[0.00031069],[0.],[0.],[0.0025841],[2.026558e-06],[0.04311186],[0.51354045],[0.],[0.],[0.25864357],[0.],[0.],[1.1920929e-07],[0.],[7.599592e-06],[0.06736135],[3.874302e-05],[2.9802322e-08],[8.940697e-08],[0.],[0.01753134],[8.583069e-06],[0.0105997],[0.],[0.00059816],[2.9802322e-08],[0.01905128],[0.],[2.682209e-07],[0.],[0.00266775],[1.2993813e-05],[0.01126176],[0.7224237],[2.9802322e-08],[7.748604e-07],[8.046627e-07],[0.00028279],[0.],[0.],[0.00107065],[0.],[0.05429059],[0.],[7.0273876e-05],[0.00119445],[0.],[0.03577778],[0.],[2.861023e-06],[0.19780505],[0.00106218],[7.8588724e-05],[0.00082141]
9,[0.],[0.00020221],[0.7527733],[3.874302e-07],[0.19123659],[0.09554911],[0.00055796],[0.],[0.00023907],[0.],[0.],[0.],[0.],[0.7491677],[0.],[8.6426735e-07],[0.00069803],[0.],[0.],[0.00478953],[0.],[0.],[0.],[0.],[0.00765216],[0.03900635],[0.06820482],[0.],[0.],[0.],[0.32004255],[0.],[0.47523105],[0.],[1.4901161e-07],[0.],[0.27567542],[0.],[0.],[0.],[0.75163424],[5.9604645e-08],[0.45389035],[0.00017834],[0.],[0.0001508],[0.],[0.34834105],[0.],[0.],[0.6694292],[0.],[1.6093254e-06],[0.],[0.11725399],[0.6932066],[0.],[0.14106178],[0.],[0.00068873],[0.00842389],[0.667682],[0.12928861],[1.7881393e-07]
