,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,[0.00290942],[2.9802322e-08],[0.],[1.2218952e-06],[8.940697e-08],[0.0055317],[0.03850633],[3.2782555e-07],[2.0861626e-07],[0.00102961],[0.001847],[2.9802322e-07],[2.0861626e-07],[6.556511e-07],[0.000458],[0.0690679],[2.1457672e-06],[2.3841858e-07],[2.3514032e-05],[0.6397635],[0.0003126],[0.00250301],[0.],[0.3644941],[5.3942204e-06],[0.],[1.7881393e-07],[4.6789646e-06],[4.4703484e-07],[0.],[0.],[9.596348e-06],[0.10161895],[0.00125977],[5.3197145e-05],[3.2782555e-07],[8.940697e-08],[2.682209e-07],[6.380677e-05],[1.4007092e-06],[6.9737434e-06],[6.2584877e-07],[0.],[3.3825636e-05],[3.1083822e-05],[9.956956e-05],[0.01112011],[0.],[0.6224208],[2.9802322e-07],[0.],[0.00135413],[7.5101852e-06],[0.02535111],[0.],[1.0877848e-05],[7.748604e-07],[1.7881393e-07],[0.27926672],[5.9604645e-08],[4.261732e-06],[2.9802322e-08],[0.],[0.12206715]
11,[8.34465e-07],[0.],[0.],[0.],[0.],[0.0002647],[3.3080578e-06],[0.52284175],[0.],[2.9802322e-07],[4.4703484e-07],[0.40834945],[0.24381685],[0.],[0.00212213],[5.6028366e-05],[0.1355457],[0.28712708],[0.01512092],[1.2814999e-05],[0.00182581],[7.1525574e-07],[0.],[5.6892633e-05],[0.],[0.],[0.26515675],[0.032024],[0.],[0.],[0.],[0.03343695],[7.2449446e-05],[3.5762787e-07],[0.],[0.5270269],[0.],[0.44873145],[0.00520167],[0.],[0.],[0.24292889],[0.],[0.],[0.],[2.9802322e-08],[8.6426735e-07],[0.],[2.9027462e-05],[0.4708854],[0.],[3.2782555e-07],[0.],[0.00013185],[0.],[0.],[0.22166714],[0.],[3.6090612e-05],[0.],[0.],[0.],[0.],[6.3478947e-06]
12,[5.662441e-07],[0.],[0.],[0.],[0.],[0.00019938],[2.503395e-06],[0.3676074],[0.],[2.3841858e-07],[4.172325e-07],[0.46339354],[0.45030436],[0.],[0.00159916],[4.3094158e-05],[0.10562855],[0.5081701],[0.01143196],[9.894371e-06],[0.00137579],[5.066395e-07],[0.],[4.2885542e-05],[0.],[0.],[0.480691],[0.02523059],[0.],[0.],[0.],[0.02539483],[5.4597855e-05],[2.9802322e-07],[0.],[0.39023858],[0.],[0.43752617],[0.003923],[0.],[0.],[0.19002384],[0.],[0.],[0.],[0.],[6.854534e-07],[0.],[2.1845102e-05],[0.4234381],[0.],[2.9802322e-07],[0.],[9.930134e-05],[0.],[0.],[0.17662543],[0.],[2.7120113e-05],[0.],[0.],[0.],[0.],[4.7385693e-06]
13,[1.1920929e-07],[0.03181824],[0.00246239],[0.45635042],[0.01367405],[0.],[0.],[0.],[0.3419054],[5.364418e-07],[1.7881393e-07],[0.],[0.],[0.7326258],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[2.0861626e-07],[8.523464e-06],[0.],[0.01562345],[0.00160205],[0.],[0.],[0.6247967],[0.00223425],[1.0728836e-05],[0.],[0.],[3.2782555e-07],[6.648898e-05],[0.],[0.0456509],[0.],[0.],[0.32096595],[0.00446895],[0.],[4.172325e-07],[6.0141087e-05],[0.00010201],[3.3974648e-06],[0.],[0.00042903],[0.],[0.],[0.0020493],[1.7881393e-07],[0.00706655],[0.],[0.00140083],[0.00177586],[0.],[0.1844078],[0.],[0.01759884],[0.02407816],[0.00387385],[0.00113529],[0.]
14,[0.],[0.000236],[0.01105964],[8.940697e-08],[0.00084704],[0.],[0.],[0.],[3.516674e-06],[0.],[0.],[0.],[0.],[1.1920929e-07],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.6114489],[0.],[0.],[0.02222323],[0.],[0.],[4.4703484e-07],[0.01304492],[0.67323256],[0.],[0.],[0.],[0.],[0.],[0.00013509],[0.],[0.],[8.940697e-08],[0.],[0.],[0.0043624],[0.],[0.],[0.],[0.],[0.14597118],[0.],[0.],[0.01567683],[0.],[2.9802322e-08],[0.],[0.0271537],[0.],[0.],[1.2695789e-05],[0.],[0.00072306],[1.4901161e-07],[0.00573519],[0.03644428],[0.]
15,[0.],[0.00075856],[0.03473088],[8.940697e-08],[0.00272009],[0.],[0.],[0.],[1.1265278e-05],[0.],[0.],[0.],[0.],[4.172325e-07],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.45391902],[0.],[2.9802322e-08],[0.06814191],[0.],[0.],[1.6093254e-06],[0.04079008],[0.5211342],[0.],[0.],[0.],[0.],[0.],[0.00043446],[0.],[0.],[1.4901161e-07],[0.],[0.],[0.00230908],[0.],[0.],[0.],[0.],[0.35480154],[0.],[0.],[0.04874328],[0.],[2.9802322e-08],[0.],[0.08240148],[0.],[0.],[4.082918e-05],[0.],[0.00232244],[0.],[0.01822051],[0.10848701],[0.]
16,[0.],[2.9802322e-08],[7.748604e-07],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.00431624],[0.],[0.],[1.5795231e-06],[0.],[0.],[0.],[8.6426735e-07],[0.00280368],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.7966938],[0.],[0.],[0.],[0.],[1.2069941e-05],[0.],[0.],[1.1026859e-06],[0.],[0.],[0.],[1.9967556e-06],[0.],[0.],[0.],[0.],[8.940697e-08],[0.],[4.172325e-07],[2.6226044e-06],[0.]
17,[0.00090268],[2.9802322e-08],[0.],[3.5762787e-07],[0.],[0.06747815],[0.00876451],[5.662441e-07],[5.9604645e-08],[0.00031894],[0.00057259],[3.874302e-07],[2.9802322e-07],[2.3841858e-07],[0.00067624],[0.4899091],[3.1888485e-06],[3.2782555e-07],[3.4719706e-05],[0.2813211],[0.0004614],[0.00077629],[0.],[0.49779496],[1.6093254e-06],[0.],[3.5762787e-07],[6.7949295e-06],[1.1920929e-07],[0.],[0.],[1.4156103e-05],[0.59538007],[0.00039035],[1.6540289e-05],[4.7683716e-07],[0.],[4.7683716e-07],[9.429455e-05],[3.874302e-07],[2.115965e-06],[1.013279e-06],[0.],[1.04904175e-05],[9.62615e-06],[3.08156e-05],[0.00241435],[0.],[0.3494696],[4.7683716e-07],[0.],[0.00041962],[2.3245811e-06],[0.25281757],[0.],[3.3676624e-06],[1.1920929e-06],[8.940697e-08],[0.6478421],[0.],[1.3113022e-06],[0.],[0.],[0.0297831]
18,[5.066395e-07],[0.],[0.],[0.],[0.],[0.00018221],[2.2351742e-06],[0.3113072],[0.],[2.0861626e-07],[3.2782555e-07],[0.4017428],[0.52088547],[0.],[0.00146163],[3.913045e-05],[0.0974161],[0.4926285],[0.01045755],[8.881092e-06],[0.00125742],[4.7683716e-07],[0.],[3.9190054e-05],[0.],[0.],[0.5116461],[0.02310923],[0.],[0.],[0.],[0.02325815],[4.9889088e-05],[2.3841858e-07],[0.],[0.33229354],[0.],[0.37689966],[0.00358635],[0.],[0.],[0.17654511],[0.],[0.],[0.],[5.9604645e-08],[5.662441e-07],[0.],[1.9967556e-05],[0.36350214],[0.],[2.682209e-07],[0.],[9.0777874e-05],[0.],[0.],[0.16390476],[0.],[2.4795532e-05],[0.],[0.],[0.],[0.],[4.3213367e-06]
19,[0.14052904],[2.2351742e-06],[6.2584877e-07],[5.403161e-05],[1.4603138e-06],[6.9737434e-06],[0.00130329],[0.],[9.715557e-06],[0.59113467],[0.29305685],[0.],[0.],[3.0308962e-05],[6.854534e-07],[5.90086e-06],[0.],[0.],[0.],[2.3275614e-05],[4.4703484e-07],[0.32897905],[8.940697e-08],[4.1753054e-05],[0.00023529],[4.4703484e-07],[0.],[0.],[2.259016e-05],[5.662441e-07],[8.940697e-08],[0.],[1.2904406e-05],[0.64996594],[0.00287783],[0.],[2.6226044e-06],[0.],[1.1920929e-07],[6.535649e-05],[0.00030684],[0.],[0.],[0.004134],[0.00275844],[0.02648851],[0.00839427],[2.0861626e-07],[3.8921833e-05],[0.],[5.364418e-07],[0.575734],[0.00032687],[9.000301e-06],[4.172325e-07],[0.00047585],[0.],[6.0796738e-06],[1.2099743e-05],[1.1920929e-06],[0.00018772],[7.748604e-07],[3.874302e-07],[0.0001992]
